SID	Run	Trial	Stage	Expression	Decision	Time
101	2	27	2	1	None	1414017751.79
101	2	27	2	1	None	1414017751.82
101	2	27	2	1	None	1414017751.85
101	2	27	2	1	None	1414017751.88
101	2	27	2	1	None	1414017751.92
101	2	27	2	1	None	1414017751.95
101	2	27	2	1	None	1414017751.99
101	2	27	2	1	None	1414017752.02
101	2	27	2	1	None	1414017752.05
101	2	27	2	1	None	1414017752.08
101	2	27	2	1	None	1414017752.12
101	2	27	2	1	None	1414017752.15
101	2	27	2	1	None	1414017752.18
101	2	27	2	1	None	1414017752.21
101	2	27	2	1	None	1414017752.25
101	2	27	2	1	None	1414017752.28
101	2	27	2	1	None	1414017752.32
101	2	27	2	1	None	1414017752.35
101	2	27	2	1	None	1414017752.38
101	2	27	2	1	None	1414017752.42
101	2	27	2	1	None	1414017752.45
101	2	27	2	1	None	1414017752.48
101	2	27	2	1	None	1414017752.51
101	2	27	2	1	None	1414017752.55
101	2	27	2	1	None	1414017752.58
101	2	27	2	1	None	1414017752.62
101	2	27	2	1	None	1414017752.65
101	2	27	2	1	None	1414017752.68
101	2	27	2	1	None	1414017752.71
101	2	27	2	1	None	1414017752.75
101	2	27	2	1	None	1414017752.78
101	2	27	2	1	None	1414017752.81
101	2	27	2	1	None	1414017752.85
101	2	27	2	1	None	1414017752.88
101	2	27	2	1	None	1414017752.91
101	2	27	2	1	None	1414017752.94
101	2	27	2	1	None	1414017752.97
101	2	27	2	1	None	1414017753.01
101	2	27	2	1	None	1414017753.05
101	2	27	2	1	None	1414017753.08
101	2	27	2	1	None	1414017753.11
101	2	27	2	1	None	1414017753.14
101	2	27	2	1	None	1414017753.17
101	2	27	2	1	None	1414017753.21
101	2	27	2	1	None	1414017753.24
101	2	27	2	1	None	1414017753.27
101	2	27	2	1	None	1414017753.3
101	2	27	2	1	None	1414017753.34
101	2	27	2	1	None	1414017753.37
101	2	27	2	1	None	1414017753.41
101	2	27	2	1	None	1414017753.44
101	2	27	2	1	None	1414017753.47
101	2	27	2	1	None	1414017753.5
101	2	27	2	1	None	1414017753.54
101	2	27	2	1	None	1414017753.57
101	2	27	2	1	None	1414017753.61
101	2	27	2	1	None	1414017753.66
101	2	27	2	1	None	1414017753.7
101	2	27	2	1	None	1414017753.73
101	2	27	2	1	None	1414017753.77
101	2	27	2	1	None	1414017753.8
101	2	27	2	1	None	1414017753.84
101	2	27	2	1	None	1414017753.87
101	2	27	2	1	None	1414017753.9
101	2	27	2	1	None	1414017753.93
101	2	27	2	1	None	1414017753.96
101	2	27	2	1	None	1414017754
101	2	27	2	1	None	1414017754.03
101	2	27	2	1	None	1414017754.06
101	2	27	2	1	None	1414017754.1
101	2	27	2	1	None	1414017754.13
101	2	27	2	1	None	1414017754.16
101	2	27	2	1	None	1414017754.2
101	2	27	2	1	None	1414017754.23
101	2	27	2	1	None	1414017754.26
101	2	27	2	1	None	1414017754.29
101	2	27	2	1	None	1414017754.32
101	2	27	2	1	None	1414017754.36
101	2	27	2	1	None	1414017754.4
101	2	27	2	1	None	1414017754.43
101	2	27	2	1	None	1414017754.46
101	2	27	2	1	None	1414017754.5
101	2	27	2	1	None	1414017754.53
101	2	27	2	2	None	1414017754.56
101	2	27	2	2	None	1414017754.59
101	2	27	2	2	None	1414017754.63
101	2	27	2	2	None	1414017754.66
101	2	27	2	2	None	1414017754.7
101	2	27	2	2	None	1414017754.73
101	2	27	2	2	None	1414017754.76
101	2	27	2	2	None	1414017754.79
101	2	27	2	2	None	1414017754.83
101	2	27	2	2	None	1414017754.86
101	2	27	2	2	None	1414017754.89
101	2	27	2	2	None	1414017754.92
101	2	27	2	2	None	1414017754.96
101	2	27	2	2	None	1414017754.99
101	2	27	2	2	None	1414017755.03
101	2	27	2	2	None	1414017755.06
101	2	27	2	2	None	1414017755.09
101	2	27	2	2	None	1414017755.12
101	2	27	2	2	None	1414017755.15
101	2	27	2	2	None	1414017755.19
101	2	27	2	2	None	1414017755.22
101	2	27	2	2	None	1414017755.25
101	2	27	2	2	None	1414017755.29
101	2	27	2	2	None	1414017755.32
101	2	27	2	2	None	1414017755.35
101	2	27	2	2	None	1414017755.38
101	2	27	2	2	None	1414017755.41
101	2	27	2	2	None	1414017755.45
101	2	27	2	2	None	1414017755.48
101	2	27	2	2	None	1414017755.52
101	2	27	2	2	None	1414017755.55
101	2	27	2	2	None	1414017755.58
101	2	27	2	2	None	1414017755.61
101	2	27	2	2	None	1414017755.65
101	2	27	2	2	None	1414017755.68
101	2	27	2	2	None	1414017755.72
101	2	27	2	2	None	1414017755.75
101	2	27	2	2	None	1414017755.78
101	2	27	2	2	None	1414017755.82
101	2	27	2	2	None	1414017755.85
101	2	27	2	2	None	1414017755.88
101	2	27	2	2	None	1414017755.91
101	2	27	2	2	None	1414017755.95
101	2	27	2	2	None	1414017755.98
101	2	27	2	2	None	1414017756.01
101	2	27	2	2	None	1414017756.05
101	2	27	2	2	None	1414017756.08
101	2	27	2	2	None	1414017756.11
101	2	27	2	2	None	1414017756.15
101	2	27	2	2	None	1414017756.18
101	2	27	2	2	None	1414017756.21
101	2	27	2	2	None	1414017756.24
101	2	27	2	2	None	1414017756.28
101	2	27	2	2	None	1414017756.31
101	2	27	2	2	None	1414017756.35
101	2	27	2	2	None	1414017756.38
101	2	27	2	2	None	1414017756.41
101	2	27	2	2	None	1414017756.44
101	2	27	2	2	None	1414017756.47
101	2	27	2	2	None	1414017756.51
101	2	27	2	3	None	1414017756.54
101	2	27	2	3	None	1414017756.57
101	2	27	2	3	None	1414017756.6
101	2	27	2	3	None	1414017756.64
101	2	27	2	3	None	1414017756.67
